nama_kabupaten_kota;lama_sekolah;tahun
KABUPATEN BOGOR;9;2024
KABUPATEN SUKABUMI;8;2024
KABUPATEN CIANJUR;8;2024
KABUPATEN BANDUNG;9;2024
KABUPATEN GARUT;8;2024
KABUPATEN TASIKMALAYA;8;2024
KABUPATEN CIAMIS;8;2024
KABUPATEN KUNINGAN;8;2024
KABUPATEN CIREBON;8;2024
KABUPATEN MAJALENGKA;8;2024
KABUPATEN SUMEDANG;9;2024
KABUPATEN INDRAMAYU;7;2024
KABUPATEN SUBANG;8;2024
KABUPATEN PURWAKARTA;8;2024
KABUPATEN KARAWANG;9;2024
KABUPATEN BEKASI;10;2024
KABUPATEN BANDUNG BARAT;9;2024
KABUPATEN PANGANDARAN;8;2024
KOTA BOGOR;11;2024
KOTA SUKABUMI;10;2024
KOTA BANDUNG;11;2024
KOTA CIREBON;11;2024
KOTA BEKASI;12;2024
KOTA DEPOK;12;2024
KOTA CIMAHI;11;2024
KOTA TASIKMALAYA;10;2024
KOTA BANJAR;9;2024
KABUPATEN BOGOR;9;2023
KABUPATEN SUKABUMI;8;2023
KABUPATEN CIANJUR;7;2023
KABUPATEN BANDUNG;9;2023
KABUPATEN GARUT;8;2023
KABUPATEN TASIKMALAYA;8;2023
KABUPATEN CIAMIS;8;2023
KABUPATEN KUNINGAN;8;2023
KABUPATEN CIREBON;8;2023
KABUPATEN MAJALENGKA;8;2023
KABUPATEN SUMEDANG;9;2023
KABUPATEN INDRAMAYU;8;2023
KABUPATEN SUBANG;8;2023
KABUPATEN PURWAKARTA;8;2023
KABUPATEN KARAWANG;8;2023
KABUPATEN BEKASI;10;2023
KABUPATEN BANDUNG BARAT;8;2023
KABUPATEN PANGANDARAN;8;2023
KOTA BOGOR;11;2023
KOTA SUKABUMI;10;2023
KOTA BANDUNG;11;2023
KOTA CIREBON;10;2023
KOTA BEKASI;12;2023
KOTA DEPOK;12;2023
KOTA CIMAHI;11;2023
KOTA TASIKMALAYA;10;2023
KOTA BANJAR;9;2023
KABUPATEN BOGOR;9;2022
KABUPATEN SUKABUMI;8;2022
KABUPATEN CIANJUR;7;2022
KABUPATEN BANDUNG;9;2022
KABUPATEN GARUT;8;2022
KABUPATEN TASIKMALAYA;8;2022
KABUPATEN CIAMIS;8;2022
KABUPATEN KUNINGAN;8;2022
KABUPATEN CIREBON;8;2022
KABUPATEN MAJALENGKA;8;2022
KABUPATEN SUMEDANG;9;2022
KABUPATEN INDRAMAYU;8;2022
KABUPATEN SUBANG;8;2022
KABUPATEN PURWAKARTA;8;2022
KABUPATEN KARAWANG;8;2022
KABUPATEN BEKASI;10;2022
KABUPATEN BANDUNG BARAT;8;2022
KABUPATEN PANGANDARAN;8;2022
KOTA BOGOR;11;2022
KOTA SUKABUMI;10;2022
KOTA BANDUNG;11;2022
KOTA CIREBON;10;2022
KOTA BEKASI;12;2022
KOTA DEPOK;11;2022
KOTA CIMAHI;11;2022
KOTA TASIKMALAYA;10;2022
KOTA BANJAR;9;2022
KABUPATEN BOGOR;9;2021
KABUPATEN SUKABUMI;8;2021
KABUPATEN CIANJUR;7;2021
KABUPATEN BANDUNG;9;2021
KABUPATEN GARUT;8;2021
KABUPATEN TASIKMALAYA;8;2021
KABUPATEN CIAMIS;8;2021
KABUPATEN KUNINGAN;8;2021
KABUPATEN CIREBON;8;2021
KABUPATEN MAJALENGKA;8;2021
KABUPATEN SUMEDANG;9;2021
KABUPATEN INDRAMAYU;7;2021
KABUPATEN SUBANG;8;2021
KABUPATEN PURWAKARTA;8;2021
KABUPATEN KARAWANG;8;2021
KABUPATEN BEKASI;10;2021
KABUPATEN BANDUNG BARAT;8;2021
KABUPATEN PANGANDARAN;8;2021
KOTA BOGOR;11;2021
KOTA SUKABUMI;10;2021
KOTA BANDUNG;11;2021
KOTA CIREBON;10;2021
KOTA BEKASI;12;2021
KOTA DEPOK;12;2021
KOTA CIMAHI;11;2021
KOTA TASIKMALAYA;10;2021
KOTA BANJAR;9;2021
KABUPATEN BOGOR;9;2020
KABUPATEN SUKABUMI;8;2020
KABUPATEN CIANJUR;8;2020
KABUPATEN BANDUNG;9;2020
KABUPATEN GARUT;8;2020
KABUPATEN TASIKMALAYA;8;2020
KABUPATEN CIAMIS;8;2020
KABUPATEN KUNINGAN;8;2020
KABUPATEN CIREBON;8;2020
KABUPATEN MAJALENGKA;8;2020
KABUPATEN SUMEDANG;9;2020
KABUPATEN INDRAMAYU;7;2020
KABUPATEN SUBANG;8;2020
KABUPATEN PURWAKARTA;9;2020
KABUPATEN KARAWANG;8;2020
KABUPATEN BEKASI;10;2020
KABUPATEN BANDUNG BARAT;9;2020
KABUPATEN PANGANDARAN;8;2020
KOTA BOGOR;10;2020
KOTA SUKABUMI;10;2020
KOTA BANDUNG;11;2020
KOTA CIREBON;10;2020
KOTA BEKASI;11;2020
KOTA DEPOK;11;2020
KOTA CIMAHI;11;2020
KOTA TASIKMALAYA;10;2020
KOTA BANJAR;9;2020
